CustomerID,AnnualIncome,Industry,CustomerID-1,Nationality,SASNationality,EducationLevel,Gender,BirthDate,MaritalStatus,NoOfDependents,ResidentialType,PostalCode
1,56680,Manufacturing,1,SG,SG,Diploma,M,6/10/1985,Single,0,HDB2,370090
2,105000,Transport,2,SG,SG,University,F,10/9/1946,Single,0,HDB3,430013
3,49000,Information Technology,3,SG,SG,Secondary,M,4/4/1949,Widowed,0,HDB2,510425
4,49000,Communications,4,SG,SG,Secondary,F,5/30/1944,Divorced,0,HDB2,821161
5,54640,Manufacturing,5,SG,SG,Secondary,M,10/27/1968,Single,0,HDB2,760860
6,34440,Media,6,SG,SG,Below Secondary,M,5/19/1958,Single,0,EC,370012
7,73000,Government,7,SG,SG,University,F,10/3/1986,Single,0,HDB2,530341
8,223680,Manufacturing,8,SG,SG,University,F,3/23/1950,Single,0,HDB2,560177
9,119200,Transport,9,SG,SG,University,M,8/23/1968,Single,0,HDB4,464010
10,78000,Property,10,SG,SG,Diploma,M,2/26/1966,Single,0,HDB2,520385
11,42880,Transport,11,SG,SG,Below Secondary,M,11/9/1974,Single,0,HDB2,753588
12,47680,Electronics,12,SG,SG,Secondary,M,8/14/1984,Single,0,HDB2,680606
13,79200,Food and Beverages,13,SG,SG,University,M,10/24/1974,Married,0,HDB4,538686
14,82000,Retail,14,SG,SG,University,F,3/7/1980,Single,0,HDB3,760289
15,106200,Diversified,15,SG,SG,Diploma,F,9/3/1955,Married,1,HDB4,680422
16,76300,Government,16,SG,SG,University,F,8/20/1949,Divorced,0,HDB2,752503
17,75000,HealthCare,17,SG,SG,University,M,7/4/1984,Single,0,HDB2,760607
18,54000,Electronics,18,SG,SG,Secondary,F,12/22/1969,Married,3,DH,546974
19,42000,Information Technology,19,SG,SG,Below Secondary,M,12/27/1980,Married,1,HDB4,650358
20,78200,Transport,20,SG,SG,Diploma,F,1/23/1967,Married,0,HDB4,730527
21,33107,Transport,21,SG,SG,Below Secondary,M,11/24/1959,Single,0,HDB2,750486
22,79400,Transport,22,SG,SG,Diploma,F,12/13/1962,Married,1,HDB2,650247
23,58000,Investment,23,SG,SG,Post Secondary,M,5/21/1945,Married,1,HDB2,530512
24,90900,Banking and Finance,24,SG,SG,University,M,12/2/1971,Married,1,HDB2,162119
25,201500,Transport,25,SG,SG,University,M,5/6/1980,Married,1,HDB4,760157
26,92000,Transport,26,SG,SG,University,M,8/16/1967,Single,0,HDB4,750357
27,80280,Government,27,SG,SG,Diploma,M,7/2/1954,Married,3,HDB4,530641
28,53760,Communications,28,SG,SG,Secondary,M,11/25/1971,Married,3,HDB2,530521
29,199000,Retail,29,SG,SG,University,M,4/23/1965,Married,2,HDB4,670116
30,82600,Property,30,SG,SG,University,M,3/16/1979,Single,0,HDB2,750305
31,55000,Diversified,31,SG,SG,Secondary,M,11/23/1964,Single,0,HDB2,670613
32,119520,Food and Beverages,32,SG,SG,University,M,1/6/1964,Married,0,HDB2,540231
33,77500,Security,33,SG,SG,Diploma,M,8/9/1934,Widowed,1,HDB4,732894
34,73000,Investment,34,SG,SG,University,F,11/1/1954,Married,0,HDB2,560432
35,42000,Entertainment,35,SG,SG,Below Secondary,F,6/7/1986,Married,1,HDB4,823174
36,57000,Transport,36,SG,SG,Post Secondary,M,10/15/1973,Married,1,HDB2,510736
37,103920,Transport,37,SG,SG,University,F,10/24/1965,Married,0,HDB4,610324
38,77900,Transport,38,SG,SG,Diploma,F,3/13/1974,Married,1,HDB4,670609
39,81700,HealthCare,39,SG,SG,University,M,11/24/1980,Married,0,HDB2,267983
40,105000,Security,40,SG,SG,University,M,12/1/1972,Married,3,HDB4,406002
41,77000,Transport,41,SG,SG,Diploma,F,9/24/1969,Married,0,HDB2,680432
