CustomerID,Nationality,SASNationality,EducationLevel,Gender,BirthDate,MaritalStatus,NoOfDependents,ResidentialType,PostalCode
1,SG,SG,Diploma,M,6/10/1985,Single,0,HDB2,370090
2,SG,SG,University,F,10/9/1946,Single,0,HDB3,430013
3,SG,SG,Secondary,M,4/4/1949,Widowed,0,HDB2,510425
4,SG,SG,Secondary,F,5/30/1944,Divorced,0,HDB2,821161
5,SG,SG,Secondary,M,10/27/1968,Single,0,HDB2,760860
6,SG,SG,Below Secondary,M,5/19/1958,Single,0,EC,370012
7,SG,SG,University,F,10/3/1986,Single,0,HDB2,530341
8,SG,SG,University,F,3/23/1950,Single,0,HDB2,560177
9,SG,SG,University,M,8/23/1968,Single,0,HDB4,464010
10,SG,SG,Diploma,M,2/26/1966,Single,0,HDB2,520385
11,SG,SG,Below Secondary,M,11/9/1974,Single,0,HDB2,753588
12,SG,SG,Secondary,M,8/14/1984,Single,0,HDB2,680606
13,SG,SG,University,M,10/24/1974,Married,0,HDB4,538686
14,SG,SG,University,F,3/7/1980,Single,0,HDB3,760289
15,SG,SG,Diploma,F,9/3/1955,Married,1,HDB4,680422
16,SG,SG,University,F,8/20/1949,Divorced,0,HDB2,752503
17,SG,SG,University,M,7/4/1984,Single,0,HDB2,760607
18,SG,SG,Secondary,F,12/22/1969,Married,3,DH,546974
19,SG,SG,Below Secondary,M,12/27/1980,Married,1,HDB4,650358
20,SG,SG,Diploma,F,1/23/1967,Married,0,HDB4,730527
21,SG,SG,Below Secondary,M,11/24/1959,Single,0,HDB2,750486
22,SG,SG,Diploma,F,12/13/1962,Married,1,HDB2,650247
23,SG,SG,Post Secondary,M,5/21/1945,Married,1,HDB2,530512
24,SG,SG,University,M,12/2/1971,Married,1,HDB2,162119
25,SG,SG,University,M,5/6/1980,Married,1,HDB4,760157
26,SG,SG,University,M,8/16/1967,Single,0,HDB4,750357
27,SG,SG,Diploma,M,7/2/1954,Married,3,HDB4,530641
28,SG,SG,Secondary,M,11/25/1971,Married,3,HDB2,530521
29,SG,SG,University,M,4/23/1965,Married,2,HDB4,670116
30,SG,SG,University,M,3/16/1979,Single,0,HDB2,750305
31,SG,SG,Secondary,M,11/23/1964,Single,0,HDB2,670613
32,SG,SG,University,M,1/6/1964,Married,0,HDB2,540231
33,SG,SG,Diploma,M,8/9/1934,Widowed,1,HDB4,732894
34,SG,SG,University,F,11/1/1954,Married,0,HDB2,560432
35,SG,SG,Below Secondary,F,6/7/1986,Married,1,HDB4,823174
36,SG,SG,Post Secondary,M,10/15/1973,Married,1,HDB2,510736
37,SG,SG,University,F,10/24/1965,Married,0,HDB4,610324
38,SG,SG,Diploma,F,3/13/1974,Married,1,HDB4,670609
39,SG,SG,University,M,11/24/1980,Married,0,HDB2,267983
40,SG,SG,University,M,12/1/1972,Married,3,HDB4,406002
41,SG,SG,Diploma,F,9/24/1969,Married,0,HDB2,680432
42,SG,SG,University,M,7/18/1974,Single,0,HDB4,760724
43,SG,SG,Secondary,F,9/2/1935,Married,5,HDB2,530696
44,SG,SG,Secondary,F,10/19/1970,Married,2,AP,169016
45,SG,SG,Below Secondary,M,3/27/1959,Married,4,HDB2,530574
46,SG,SG,Below Secondary,M,11/17/1969,Single,0,HDB2,562596
47,SG,SG,University,M,5/1/1984,Married,0,HDB2,760137
48,SG,SG,Below Secondary,M,11/23/1983,Married,1,EC,529945
49,SG,SG,Secondary,F,12/19/1959,Married,4,HDB4,530656
50,SG,SG,Below Secondary,F,5/2/1941,Married,1,HDB2,680670
51,SG,SG,University,F,11/17/1988,Married,0,PC,545019
52,SG,SG,Below Secondary,F,4/9/1980,Married,0,HDB4,751468
53,SG,SG,Diploma,F,6/11/1986,Single,0,HDB4,570155
54,SG,SG,Post Secondary,M,2/21/1964,Single,0,HDB2,600241
55,SG,SG,Below Secondary,M,9/6/1965,Married,1,HDB3,570183
56,SG,SG,Post Secondary,F,3/22/1991,Married,0,HDB2,825195
57,SG,SG,Below Secondary,F,4/2/1954,Married,0,HDB2,760328
58,SG,SG,Secondary,F,12/20/1965,Single,0,HDB4,570189
59,SG,SG,University,M,9/13/1986,Married,4,HDB4,310049
60,SG,SG,Post Secondary,F,10/10/1980,Single,0,HDB3,400014
61,SG,SG,Diploma,F,5/3/1974,Married,0,HDB2,510573
62,SG,SG,University,M,5/6/1980,Married,0,HDB2,650370
63,SG,SG,Below Secondary,F,1/21/1988,Married,1,HDB4,140129
64,SG,SG,Below Secondary,F,1/4/1966,Married,1,HDB4,541189
65,SG,SG,Below Secondary,M,4/5/1967,Single,0,HDB4,750332
66,SG,SG,Diploma,F,4/6/1954,Divorced,0,EC,507004
67,SG,SG,University,F,4/18/1954,Married,1,HDB4,310035
68,SG,SG,Diploma,F,8/8/1969,Married,2,HDB4,400016
69,SG,SG,Secondary,M,8/15/1980,Single,0,HDB4,760736
70,SG,SG,University,M,3/16/1964,Married,1,HDB4,760724
71,SG,SG,Secondary,M,12/26/1959,Married,0,HDB2,310060
72,SG,SG,Below Secondary,F,8/7/1968,Married,3,DH,579255
73,SG,SG,Post Secondary,F,4/27/1965,Single,0,HDB4,760796
74,SG,SG,Below Secondary,M,6/26/1964,Single,0,HDB2,520278
75,SG,SG,Below Secondary,M,9/10/1968,Married,3,HDB4,520492
76,SG,SG,University,M,12/15/1970,Married,4,HDB2,640751
77,SG,SG,University,F,4/4/1964,Married,0,HDB4,650531
78,SG,SG,Post Secondary,M,8/26/1980,Single,0,HDB2,640688
79,SG,SG,Diploma,M,7/7/1961,Married,5,HDB4,520708
80,SG,SG,Post Secondary,F,7/4/1979,Married,4,HDB2,760764
81,SG,SG,University,F,8/14/1966,Single,0,HDB2,610358
82,SG,SG,Secondary,F,6/1/1980,Single,0,HDB2,530321
83,SG,SG,Below Secondary,M,7/27/1969,Single,0,HDB4,730371
84,SG,SG,Below Secondary,M,5/9/1964,Single,0,HDB2,541295
85,SG,SG,University,F,3/18/1987,Married,0,HDB2,400352
86,SG,SG,University,F,6/10/1962,Married,1,HDB4,542297
87,SG,SG,University,F,10/26/1971,Single,0,HDB3,430001
88,SG,SG,Secondary,M,5/3/1968,Married,5,BUN,416998
89,SG,SG,University,F,9/22/1984,Single,0,HDB2,730128
90,SG,SG,Below Secondary,F,11/14/1944,Married,0,SDH,757423
91,SG,SG,Secondary,M,9/19/1969,Married,1,HDB2,760278
92,SG,SG,Diploma,M,8/5/1959,Married,1,HDB4,544224
93,SG,SG,University,M,10/8/1960,Married,1,HDB4,550315
94,SG,SG,University,M,3/15/1957,Married,1,HDB3,560219
95,SG,SG,Diploma,M,12/19/1954,Single,0,HDB2,520345
96,SG,SG,Below Secondary,M,4/8/1962,Married,1,HDB4,530354
97,SG,SG,Secondary,F,7/22/1959,Single,0,HDB2,320075
98,SG,SG,University,F,8/28/1966,Married,0,HDB4,760850
99,SG,SG,Below Secondary,M,1/28/1984,Single,0,HDB2,682688
100,SG,SG,University,M,7/8/1959,Single,0,HDB2,530363
101,SG,SG,Post Secondary,F,6/23/1956,Married,1,HDB4,550212
102,SG,SG,Secondary,M,1/17/1955,Single,0,HDB2,320035
103,SG,SG,Below Secondary,M,12/14/1971,Married,0,HDB4,150116
104,SG,SG,Below Secondary,F,8/15/1969,Single,0,HDB4,760433
105,SG,SG,Below Secondary,F,4/12/1964,Married,2,AP,759155
106,SG,SG,Diploma,M,8/15/1986,Single,0,HDB2,730578
107,SG,SG,University,M,3/29/1948,Single,0,HDB2,560314
108,SG,SG,Below Secondary,F,3/7/1959,Married,0,HDB2,760270
109,SG,SG,Secondary,M,8/1/1965,Single,0,HDB3,570166
110,SG,SG,Secondary,F,7/18/1974,Married,2,HDB4,310046
111,SG,SG,University,F,10/8/1966,Married,2,HDB5,540101
112,SG,SG,University,M,12/9/1954,Single,0,HDB2,760739
113,SG,SG,University,F,3/26/1954,Married,0,HDB4,680252
114,SG,SG,Below Secondary,M,1/17/1954,Married,1,SDH,309946
115,SG,SG,Post Secondary,M,2/27/1986,Single,0,HDB5,760325
116,SG,SG,University,M,10/6/1959,Married,0,HDB2,541268
117,SG,SG,Below Secondary,M,1/8/1979,Single,0,HDB5,760627
118,SG,SG,Diploma,M,6/16/1987,Married,0,HDB2,564596
119,SG,SG,Below Secondary,F,12/2/1962,Married,1,HDB5,542186
120,MY,PR,University,M,10/25/1955,Married,1,HDB5,440031
121,SG,SG,Secondary,M,7/9/1964,Single,0,HDB5,560422
122,SG,SG,Post Secondary,M,3/21/1974,Single,0,HDB5,432004
123,SG,SG,University,M,2/14/1970,Married,0,HDB2,520449
124,SG,SG,Secondary,F,2/16/1969,Single,0,HDB2,530143
125,SG,SG,Secondary,F,6/27/1939,Married,0,SDH,278907
126,SG,SG,Post Secondary,F,12/2/1969,Married,0,HDB2,760854
127,SG,SG,Secondary,F,12/14/1974,Married,0,HDB5,210671
128,SG,SG,Below Secondary,F,10/18/1986,Married,5,HDB5,760932
129,SG,SG,Below Secondary,M,6/24/1959,Married,5,HDB2,190006
130,SG,SG,Secondary,M,11/7/1957,Married,5,HDB5,680755
131,SG,SG,Secondary,M,9/23/1966,Married,0,SDH,757423
132,SG,SG,University,M,9/28/1964,Married,3,DH,688512
133,SG,SG,Diploma,F,2/14/1966,Married,2,HDB5,470773
134,SG,SG,Diploma,M,9/18/1980,Married,2,HDB5,760324
135,SG,SG,Secondary,F,11/8/1979,Married,0,HDB5,640966
136,SG,SG,Diploma,M,8/10/1986,Single,0,HDB5,560631
137,SG,SG,University,M,10/16/1973,Married,1,AP,308349
138,SG,SG,University,F,9/19/1969,Married,3,HDB5,640558
139,SG,SG,Post Secondary,M,3/8/1954,Married,2,HDB2,550263
140,SG,SG,Below Secondary,M,3/20/1954,Married,1,HDB2,550529
141,SG,SG,Secondary,F,11/1/1966,Married,0,HDB2,760351
142,SG,SG,Secondary,M,7/1/1984,Single,0,HDB5,560253
143,SG,SG,Diploma,M,4/14/1959,Single,0,HDB2,560172
144,SG,SG,Below Secondary,F,11/15/1969,Married,2,HDB5,600401
145,SG,SG,Below Secondary,F,1/4/1959,Married,3,HDB5,310194
146,SG,SG,University,M,2/24/1969,Married,0,HDB2,310107
147,SG,SG,University,M,9/26/1954,Married,0,HDB4,650107
148,SG,SG,Below Secondary,F,1/28/1964,Single,0,HDB2,670130
149,SG,SG,Below Secondary,F,11/2/1969,Single,0,HDB2,400316
150,SG,SG,University,M,5/10/1987,Married,2,HDB2,570155
151,SG,SG,Below Secondary,M,11/3/1964,Single,0,HDB3,164004
152,SG,SG,Secondary,M,3/28/1954,Married,2,HDB5,730322
153,SG,SG,University,M,11/17/1954,Married,0,HDB2,460038
154,SG,SG,Post Secondary,F,9/26/1973,Married,1,AP,218460
155,SG,SG,Below Secondary,M,5/11/1982,Married,0,HDB2,120327
156,SG,SG,Below Secondary,F,10/28/1968,Married,5,HDB2,560551
157,SG,SG,University,M,11/15/1974,Married,1,HDB2,570117
158,SG,SG,University,F,1/24/1969,Married,2,HDB5,510230
159,SG,SG,Secondary,F,6/25/1942,Single,0,HDB4,508000
160,SG,SG,Post Secondary,M,5/19/1958,Married,2,AP,787073
161,SG,SG,University,M,5/13/1984,Single,0,HDB5,760150
162,SG,SG,Diploma,M,3/14/1986,Married,0,HDB5,680438
163,SG,SG,Diploma,F,1/4/1959,Married,3,SH,328668
164,SG,SG,Secondary,M,4/23/1959,Single,0,HDB2,731681
165,SG,SG,Diploma,F,12/11/1957,Married,2,HDB5,520277
166,SG,SG,University,F,11/21/1946,Single,0,HDB5,760263
167,SG,SG,Secondary,F,7/15/1954,Married,1,HDB2,670180
168,SG,SG,Secondary,M,7/27/1959,Married,3,HDB4,550103
169,SG,SG,University,M,5/6/1970,Married,0,HDB2,310112
170,SG,SG,Secondary,M,6/12/1966,Married,0,HDB2,560336
171,SG,SG,Below Secondary,F,9/30/1957,Single,0,HDB2,823174
172,SG,SG,Post Secondary,M,2/20/1983,Married,1,HDB2,520810
173,SG,SG,Secondary,M,6/18/1965,Single,0,HDB5,752503
174,SG,SG,University,F,10/20/1990,Married,1,HDB2,520470
175,SG,SG,Secondary,M,3/25/1962,Married,2,BUN,249503
176,HK,PR,Secondary,M,4/15/1964,Single,0,HDB2,760770
177,SG,SG,Secondary,F,3/27/1980,Single,0,HDB2,530964
178,SG,SG,Secondary,F,8/16/1969,Married,0,BUN,349389
179,IN,PR,Below Secondary,M,11/4/1969,Married,2,HDB5,670404
180,SG,SG,University,M,7/4/1981,Married,0,HDB3,670221
181,SG,SG,Diploma,M,7/9/1959,Married,3,HDB4,430014
182,SG,SG,Diploma,M,8/22/1946,Single,0,HDB3,545119
183,SG,SG,Below Secondary,M,11/3/1974,Married,2,HDB5,545123
184,SG,SG,Secondary,M,9/26/1968,Married,3,BUN,648575
185,SG,SG,Post Secondary,M,6/3/1965,Single,0,HDB3,390016
186,SG,SG,Diploma,M,5/15/1972,Single,0,HDB3,560418
