CustomerID,AnnualIncome,Industry
1,56680,Manufacturing
2,105000,Transport
3,49000,Information Technology
4,49000,Communications
5,54640,Manufacturing
6,34440,Media
7,73000,Government
8,223680,Manufacturing
9,119200,Transport
10,78000,Property
11,42880,Transport
12,47680,Electronics
13,79200,Food and Beverages
14,82000,Retail
15,106200,Diversified
16,76300,Government
17,75000,HealthCare
18,54000,Electronics
19,42000,Information Technology
20,78200,Transport
21,33107,Transport
22,79400,Transport
23,58000,Investment
24,90900,Banking and Finance
25,201500,Transport
26,92000,Transport
27,80280,Government
28,53760,Communications
29,199000,Retail
30,82600,Property
31,55000,Diversified
32,119520,Food and Beverages
33,77500,Security
34,73000,Investment
35,42000,Entertainment
36,57000,Transport
37,103920,Transport
38,77900,Transport
39,81700,HealthCare
40,105000,Security
41,77000,Transport
42,72720,Banking and Finance
43,49800,Communications
44,53920,Media
45,33131,HealthCare
46,44000,Education
47,75000,Communications
48,42000,Food and Beverages
49,52000,Retail
50,45000,Retail
51,73000,Investment
52,42000,Transport
53,56000,Communications
54,58640,HealthCare
55,31132,Hospitality
56,48000,Electronics
57,40000,Design
58,55000,Communications
59,73000,Information Technology
60,52360,Transport
61,49200,Manufacturing
62,201720,Transport
63,42000,Energy and Utility
64,31137,Transport
65,45000,Food and Beverages
66,80320,Diversified
67,73000,Investment
68,77000,Property
69,50000,Retail
70,120000,Transport
71,52000,Accounting
72,30798,Manufacturing
73,58000,Property
74,45880,Food and Beverages
75,31678,HealthCare
76,80100,Information Technology
77,82800,Consulting
78,52400,Transport
79,79400,Information Technology
80,52520,HealthCare
81,92000,Design
82,50000,Government
83,44000,Electronics
84,46000,Energy and Utility
85,73000,Government
86,75600,Service
87,92400,Design
88,49500,Diversified
89,75000,Information Technology
90,45480,Design
91,54000,Communications
92,79800,Electronics
93,76000,HealthCare
94,55000,Banking and Finance
95,80360,HealthCare
96,32773,Transport
97,52000,Electronics
98,199500,Energy and Utility
99,42000,Security
100,145000,Investment
101,59100,Transport
102,52000,Marine
103,43800,Retail
104,44000,Communications
105,46000,Communications
106,56000,Property
107,105100,Consulting
108,34800,Food and Beverages
109,55000,Transport
110,50880,Transport
111,102080,Transport
112,73000,Property
113,99000,Manufacturing
114,60010,Investment
115,48080,Media
116,76320,Information Technology
117,42000,Entertainment
118,56000,HealthCare
119,32803,Manufacturing
120,60000,Banking and Finance
121,55000,Information Technology
122,53000,Electronics
123,92500,Design
124,54640,Security
125,54640,Manufacturing
126,57360,Information Technology
127,50880,Data Storage
128,42000,Design
129,33143,Retail
130,52000,Information Technology
131,200400,Investment
132,105240,Security
133,197360,HealthCare
134,60000,Information Technology
135,50000,Transport
136,56000,Property
137,80000,Investment
138,92640,Diversified
139,51000,Information Technology
140,30012,Hospitality
141,232900,Diversified
142,52700,Communications
143,79800,Information Technology
144,44000,Communications
145,34800,Diversified
146,198000,Banking and Finance
147,73000,Government
148,32535,Food and Beverages
149,44000,Energy and Utility
150,73000,Transport
151,46000,Diversified
152,72000,Government
153,73000,Energy and Utility
154,57000,Transport
155,42000,Manufacturing
156,31690,Transport
157,72720,Manufacturing
158,220240,Food and Beverages
159,54680,HealthCare
160,59000,Electronics
161,75000,Manufacturing
162,56680,Government
163,98000,Marine
164,52000,Diversified
165,80100,Investment
166,104000,Communications
167,52000,Retail
168,49000,Electronics
169,92000,Government
170,50000,Property
171,32997,Energy and Utility
172,52010,Marine
173,55000,Electronics
174,73000,HealthCare
175,105000,Diversified
176,55000,Design
177,58000,Data Storage
178,54000,Communications
179,44000,Energy and Utility
180,81000,Property
181,79800,Transport
182,198400,Media
183,31229,HealthCare
184,49500,Electronics
185,58000,HealthCare
186,78000,Communications
187,44000,Data Storage
188,40000,Security
189,49600,Security
190,120100,Communications
191,75000,Marine
192,58000,Property
193,129240,Design
194,79200,Property
195,31208,Investment
196,49000,Information Technology
197,60000,Security
198,78680,Electronics
199,60000,HealthCare
200,46000,Transport
201,52000,Information Technology
202,54000,Information Technology
203,42000,Food and Beverages
204,109680,Energy and Utility
205,48100,Government
206,72720,Government
207,78000,Property
208,52000,Media
209,57440,Transport
210,199000,Transport
211,145200,Electronics
212,87120,Security
213,38400,Information Technology
214,72720,Media
215,33156,Transport
216,105360,Agribusiness
217,50000,Diversified
218,81080,Retail
219,52000,Marine
220,42880,Entertainment
